x	y
NOC2L	0.155593344324832	0.913916786226686
SDF4	0.179804673989978	0.899569583931133
B3GALT6	0.0369397919814096	0.978479196556671
UBE2J2	0.179623268148328	0.896700143472023
ACAP3	0.0332628108600918	0.981348637015782
PUSL1	0.0419629358512984	0.975609756097561
CPSF3L	0.115509930069987	0.934002869440459
GLTPD1	0.0607288074220855	0.965566714490674
AURKAIP1	0.39955542381104	0.776183644189383
CCNL2	0.0659418623446053	0.961262553802009
MRPL20	0.381390640762015	0.791965566714491
ATAD3B	0.01524368677267	0.991391678622669
ATAD3A	0.0286351971580189	0.982783357245337
SSU72	0.529847259393433	0.711621233859397
MIB2	0.0978435206809946	0.942611190817791
CDK11B	0.0447234301823302	0.977044476327116
SLC35E2B	0.031145935684546	0.982783357245337
CDK11A	0.100496835415994	0.945480631276901
GNB1	0.122436647314449	0.932568149210904
C1orf86	0.277610227708449	0.842180774748924
SKI	0.0403276752318832	0.975609756097561
RER1	0.239522764515668	0.863701578192252
PEX10	0.0165833438626278	0.991391678622669
PANK4	0.0240405397814554	0.985652797704448
TPRG1L	0.0213603920005589	0.987087517934003
WRAP73	0.0381390260413341	0.977044476327116
LRRC47	0.0648487744719739	0.962697274031564
CEP104	0.0291570718037275	0.982783357245337
C1orf174	0.0658925872371314	0.962697274031564
RPL22	2.33968262477397	0.0989956958393113
ICMT	0.0363585286628307	0.978479196556671
NOL9	0.0262838502845428	0.985652797704448
ZBTB48	0.03864639935948	0.977044476327116
THAP3	0.0375686677018273	0.978479196556671
DNAJC11	0.016399934284664	0.989956958393113
CAMTA1	0.106090091191374	0.941176470588235
VAMP3	0.0616101433976864	0.962697274031564
PARK7	0.770984671337235	0.583931133428981
ENO1	0.975014774202461	0.516499282639885
CTNNBIP1	0.0618462023059459	0.965566714490674
LZIC	0.0749902528232048	0.956958393113343
NMNAT1	0.00944680461413063	0.994261119081779
UBE4B	0.0287797496715721	0.984218077474892
DFFA	0.0515242542990802	0.96987087517934
PEX14	0.025248097754506	0.985652797704448
TARDBP	0.1114070414771	0.93687230989957
SRM	0.209656829578243	0.880918220946915
EXOSC10	0.0466653448499076	0.972740315638451
MTOR	0.0162589561233725	0.989956958393113
UBIAD1	0.113477489907065	0.932568149210904
FBXO6	0.00956373267131293	0.994261119081779
MAD2L2	0.0854089756577137	0.952654232424677
CLCN6	0.00238153544429564	0.998565279770445
KIAA2013	0.00706740306608728	0.995695839311334
PLOD1	0.00482216477637947	0.997130559540889
MFN2	0.0366845774578345	0.978479196556671
MIIP	0.0742043366206117	0.956958393113343
VPS13D	0.0273929202617216	0.984218077474892
PRDM2	0.0800583532938262	0.954088952654232
CASP9	0.0166665807293038	0.989956958393113
DNAJC16	0.0207949356663186	0.988522238163558
PLEKHM2	0.00782075309095222	0.995695839311334
SPEN	0.0377101556672961	0.977044476327116
ZBTB17	0.0211967381364304	0.987087517934003
FBXO42	0.0215660313950963	0.987087517934003
SZRD1	0.13209103893684	0.922525107604017
ATP13A2	0.0398759023324355	0.977044476327116
SDHB	0.244735727297218	0.859397417503587
ARHGEF10L	0.00234225653047825	0.998565279770445
UBR4	0.0543422811708289	0.968436154949785
EMC1	0.0123656052243236	0.992826398852224
MRTO4	0.113954853124441	0.932568149210904
AKR7A2	0.196676619681903	0.889526542324247
PQLC2	0.00730669664506486	0.995695839311334
CAPZB	0.950653814173233	0.51219512195122
MINOS1	0.451478932721568	0.753228120516499
MUL1	0.037512621166405	0.978479196556671
PINK1	0.0166618651396533	0.989956958393113
DDOST	0.252001733519667	0.856527977044476
HP1BP3	0.224166829813651	0.87948350071736
EIF4G3	0.0138361793609329	0.991391678622669
ECE1	0.0505583866110958	0.96987087517934
USP48	0.0690798971600996	0.961262553802009
CDC42	0.58943390487041	0.677187948350072
ZBTB40	0.0352486501114821	0.978479196556671
KDM1A	0.0383429920770945	0.978479196556671
HNRNPR	0.332450205830997	0.810616929698709
ID3	0.176625162011397	0.903873744619799
TCEB3	0.0440262918276503	0.975609756097561
PITHD1	0.250149885933926	0.857962697274032
LYPLA2	0.140884128240867	0.922525107604017
HMGCL	0.0847886962621099	0.949784791965567
FUCA1	0.0379277078670707	0.975609756097561
PNRC2	0.105162843886831	0.93974175035868
SRSF10	0.0749713811291849	0.955523672883788
SRRM1	0.308061472535813	0.830703012912482
SYF2	0.629693273834414	0.664275466284075
TMEM50A	0.362238766413918	0.797704447632712
TMEM57	0.032283739934673	0.979913916786227
LDLRAP1	0.455715899245604	0.754662840746054
MAN1C1	0.0305662882520026	0.982783357245337
SEPN1	0.0262538386706789	0.984218077474892
MTFR1L	0.0480054500300013	0.971305595408895
PAFAH2	0.0221678230322063	0.987087517934003
PDIK1L	0.0298041065549753	0.981348637015782
ZNF593	0.074029055921943	0.956958393113343
ARID1A	0.0974341878250501	0.945480631276901
PIGV	0.0285351090109777	0.984218077474892
GPN2	0.039033979129281	0.977044476327116
GPATCH3	0.0332229953082328	0.981348637015782
NUDC	0.330137222932372	0.813486370157819
WDTC1	0.0506747739032071	0.971305595408895
TMEM222	0.0918912780429873	0.944045911047346
PPP1R8	0.116710957300076	0.934002869440459
RPA2	0.331506037427676	0.814921090387374
EYA3	0.0134086003962203	0.992826398852224
DNAJC8	0.327609766350241	0.81635581061693
ATPIF1	0.528222002054958	0.714490674318508
MED18	0.0064204773096742	0.995695839311334
PHACTR4	0.0476566821621227	0.972740315638451
TRNAU1AP	0.0796075122663807	0.955523672883788
TAF12	0.210613820191677	0.880918220946915
GMEB1	0.043811585585833	0.972740315638451
YTHDF2	0.258082651887575	0.855093256814921
SRSF4	0.182384704860632	0.899569583931133
PUM1	0.0473779757050661	0.972740315638451
SNRNP40	0.177765408333106	0.896700143472023
ZCCHC17	0.119296542684633	0.934002869440459
PEF1	0.160909561718086	0.905308464849354
PTP4A2	0.279243875480843	0.84648493543759
KHDRBS1	0.439586543115508	0.75896700143472
TMEM39B	0.0283537906344673	0.984218077474892
