cellName	geneSymbol
Acinar cells	Acinar cells	CTRB1,KLK1,RBPJL,PTF1A,CELA3A,PRSS1,SPINK1,ZG16,CEL,CELA2A,CPB1,CELA1,RNASE1,AMY2B,CPA2,CPA1,CELA3B,PNLIP,CTRB2,PLA2G1B,PRSS2,CLPS,REG1A,SYCN,PNLIPRP1,CTRC,REG3A,SERPINA3,PRSS3,REG1B,CFB,GDF15,MUC1,C15ORF48,DUOXA2,AKR1C3,OLFM4,GSTA1,LGALS2,PDZK1IP1,RARRES2,CXCL17,UBD,GSTA2,ANPEP,LYZ,ANGPTL4,ALDOB
Adipocyte progenitor cells	Adipocyte progenitor cells	CEBPA,EGFR,FGF10,GSC,MMP3,PPARG,TWIST2,GATA3,GLI1,SMO,STAB1,WISP2,WT1,SCARA5,HOXC8,TCF7L1,HOXC9,HOXC6,HOXC4,ZNF521,SULT1E1,EBF2,NRG4
Adipocytes	Adipocytes	SLC36A2,P2RX5,LEP,UCP1,CIDEA,PRDM16,LHX8,EPSTI1,MC2R,FFAR2,PIKFYVE,CYP11B2,TLR2,TLR4,ADRB1,ADRB2,ADRB3,FABP4,TNFRSF9,TBX1,TMEM26,TCF21,ADIPOQ,CFD,ACVR1C,SLC2A4,LPIN1,PLIN1,PCK1,RETN,MEST,ADM2,STAT6,TFE3,CPPED1,APPL2,APOL6,PXMP2,CAVIN1,AGT,SLC1A5,ACSL1,BCAT2,PNPLA2,CIDEC,CDO1,APOC1,MMP2,POSTN,LOX,COL6A2,ZBTB16,GULP1,FZD4,TRIP10,FGF7,MAOB,SOCS1,ARNT,SULT1A1,NNMT,AOC3,H6PD,CYP27A1,MNDA,HSD11B1,AR,GDF10,CYP1B1,COL5A3,STEAP4,CCL11,NR1H3,DEPTOR,CYTH3,FMO1,ACADSB,XDH,RSPO3,PTGES,CREB3L1,ANGPTL2,ADAM12,LBP,NMB,FST,CPXM1,C3,ADAMTS5,MT2A,TIMP1,METRN,METRNL,MYO1C,NQO1,SYAP1,CRNDE,AQP5,TSPO,AZGP1,LRP1,PDE3B,LGALS12,SERPINF1,CPT1B,ELOVL3,PPARGC1A,MPZL1,CITED1,DPT,ZNF423,ESM1
Adrenergic neurons	Adrenergic neurons	TH,DDC,DBH,PNMT,SLC18A2,NPFF,SLC12A7,SYT1
Airway epithelial cells	Airway epithelial cells	AQP1,ADH7,CDH1,SEC14L3
Airway goblet cells	Airway goblet cells	MUC5B,MUC16,LTF,SCGB3A1,DMBT1,LIPF,MSLN,AGR2,GP2,PIGR,TFF2,QSOX1,FXYD3,SEC23B,CEACAM1,GOLPH3,GGH,GALNT5,GALNT6,MUC5AC,MUC4,MUC20,SPDEF,DUSP4
Airway smooth muscle cells	Airway smooth muscle cells	NOG,ACTA2,FOXF1,GATA5
Alpha cells	Alpha cells	GCG,TTR,GLP1R,ARX,POU3F4,NKX2-2,RESP18,PYY,PCSK2,SLC38A5,TM4SF4,CRYBA2,NKX6-1,KCNK16,PCSK1,PRRG2,IRX2,ALDH1A1,PEMT,CHGA,SMIM24,F10,SCGN,SLC30A8,SH3GL2,SCGB2A1,FAP,DPP4,GPR119,MAFB,PAX6,NEUROD1,LOXL4,PLCE1,GC,KLHL41,FEV,PTGER3,RFX6,SMARCA1,PGR,LDB2,IRX1,UCP2,FXYD5,RGS4,GLS
Alveolar macrophages	Alveolar macrophages	PLET1,IL1B,CCL3,G0S2,CXCL2,MCEMP1,KLHDC4,GDA,CLEC7A,ITGAX,TNFAIP2,CD36,GAL,GPNMB,MRC1,MARCO,CSF2RB,MPP1,TRIM25,OLR1,S100A4,GNGT2
Anterior pituitary gland cells	Anterior pituitary gland cells	AGA,ANGPT1,CPEB4,IGSF1,NKTR,NUCB2,PITX2,POU1F1,PRL,RAB27A,RCN3,SEZ6L2,SIX6,TBRG1,TMEM130,POMC,GMPPA,GNB3,HEPACAM2,ASB4,RAX,NKX2-1,FSHB,GNRHR,PITX1,GH1,TSHB,PAX7,LHB
Astrocytes	Astrocytes	S100B,SLC1A2,GFAP,BYSL,ALDH1L1,CD40,SLC1A3,FGFR3,GJB6,AQP4,HTRA1,S100A8,CLDN10,ITIH3,NKAIN4,ACSL6,ACSBG1,TRIL,GPR37L1,SLC4A4,NTSR2,SLC6A11,HSPA2,SLC16A2,SYNE1,DIO2,SLC7A10,ENTPD2,HSPB6,PLXNB1,LCAT,PLA2G7,CMTM5,S1PR1,SLC39A12,LUZP2,GSTA4,SLC25A28,SLC25A46,WNT3,FZD2,TEAD1,RLBP1,ALDOC,GJA1,APOE,LCN2,SOX9,VIM,CCR7,AANAT,FABP7,SOCS3,SYNM,HMG20A,NFATC3,SRR,SLC1A6,ETS1,SLIT1,SNPH,IL23A
B cells	B cells	CD2,CD5,MS4A1,CR2,CD22,FCER2,CD69,CD70,CD79A,CD79B,CD80,CD86,SDC1,TNFSF4,TNFRSF13B,TNFRSF13C,PDCD1,IGHD,IGHM,RASGRP3,HLA-DRA,LTB,HLA-DQA1,FLI1,CD14,SEMA6D,LAIR1,IFIT3,IGLL1,DNTT,MME,SPN,CD19,CD24,CD27,B3GAT1,CD72,MUM1,PAX5,JCHAIN,MZB1,LY6D,FCMR,BANK1,EDEM1,VPREB3,POU2AF1,CRELD2,DERL3,RALGPS2,FCHSD2,POLD4,TNFRSF17,HVCN1,FCRLA,EDEM2,BLNK,TXNDC11,BTLA,SMAP2,FKBP11,SEC61A1,SPCS3,SPIB,EAF2,CXCR4,BIRC3,IGLC2,IGLC3,IGLC1,IL21R,IGKC,VPREB1,LRMP,KLHL6,SLAMF6,FAM129C,BST1,MSH5,DOK3,BACH2,PXK,IGHG1,IGHG3,IGHG4,CD38,PTPRC,EBF1,BCL11A,CD55,CD74,CD52,TLR9,SWAP70,HMGA1
B cells memory	B cells memory	CD84,NT5E
Basophils	Basophils	OSBPL5,OTUB2,P2RY1,PDK3,PDZD4,PERP,PIGY,PLEKHG5,PLG,RNF39,SLC26A3,SLC26A8,SNCAIP,ST6GALNAC5,SUPT3H,TULP3,TEC,UNC93A,WRN,ID1
Bergmann glia	Bergmann glia	GRIA4,GRM3,A2M,PTCH1,CDC42EP4,BTBD17,HOPX,TTC21B,HEPACAM,ZEB2,UFL1,NRXN3,ATP7A,BICD2,P2RX7,GRIA1,GRIN2B,GRIN3A,SEPT4,DAO,ITGB1,KIF1BP
Beta cells	Beta cells	GCGR,JPH3,HAMP,EZH1,NTRK1,PDX1,SLC2A2,NKX6-2,FXYD2,NPY,INS,RIMS1,MAFA,EFNA5,LMX1A,PAX4,IAPP,G6PC2,GJD2,IGF2,SYT13,NPTX2,PFKFB2,EDARADD,ADCYAP1,CASR,ISL1,TGFBR3,SMAD9,SIX3,SIX2,BMP5,PIR,STXBP5,DLK1,MEG3,RGS16
