cellName	geneSymbol
Acinar cells	Acinar cells	Ctrb1,Klk1b1,Rbpjl,Ptf1a,Cela3a,Spink1,Zg16,Cel,Cela2a,Cpb1,Cela1,Rnase1,Cpa2,Cpa1,Pnlip,Pla2g1b,Clps,Sycn,Pnliprp1,Ctrc,Gm20547,Gdf15,Muc1,Duoxa2,Olfm4,Lgals2,Pdzk1ip1,Rarres2,Cxcl17,Ubd,Anpep,Angptl4,Aldob
Adipocyte progenitor cells	Adipocyte progenitor cells	Cebpa,Egfr,Fgf10,Gsc,Mmp3,Pparg,Twist2,Gata3,Gli1,Smo,Stab1,Wt1,Scara5,Hoxc8,Tcf7l1,Hoxc9,Hoxc6,Hoxc4,Sult1e1,Ebf2,Nrg4
Adipocytes	Adipocytes	Slc36a2,P2rx5,Lep,Ucp1,Cidea,Prdm16,Lhx8,Epsti1,Mc2r,Ffar2,Pikfyve,Tlr2,Tlr4,Adrb1,Adrb2,Adrb3,Fabp4,Tnfrsf9,Tbx1,Tmem26,Tcf21,Adipoq,Cfd,Acvr1c,Slc2a4,Lpin1,Plin1,Pck1,Retn,Mest,Adm2,Stat6,Tfe3,Cpped1,Appl2,Apol6,Pxmp2,Agt,Slc1a5,Acsl1,Bcat2,Pnpla2,Cidec,Cdo1,Apoc1,Mmp2,Postn,Lox,Col6a2,Zbtb16,Gulp1,Fzd4,Trip10,Fgf7,Maob,Socs1,Arnt,Sult3a2,Nnmt,Aoc3,H6pd,Cyp27a1,Ifi204,Hsd11b1,Ar,Gdf10,Cyp1b1,Col5a3,Steap4,Ccl11,Nr1h3,Deptor,Cyth3,Fmo1,Acadsb,Xdh,Rspo3,Ptges,Creb3l1,Angptl2,Adam12,Lbp,Nmb,Fst,Cpxm1,C3,Adamts5,Timp1,Metrn,Metrnl,Myo1c,Nqo1,Syap1,Aqp5,Tspo,Azgp1,Lrp1,Pde3b,Lgals12,Serpinf1,Cpt1b,Elovl3,Ppargc1a,Mpzl1,Cited1,Dpt,Esm1
Adrenergic neurons	Adrenergic neurons	Th,Ddc,Dbh,Pnmt,Slc18a2,Npff,Slc12a7,Syt1
Airway epithelial cells	Airway epithelial cells	Aqp1,Adh7,Cdh1,Sec14l3
Airway goblet cells	Airway goblet cells	Muc5b,Muc16,Ltf,Scgb3a1,Dmbt1,Lipf,Msln,Agr2,Gp2,Pigr,Tff2,Qsox1,Fxyd3,Sec23b,Ceacam10,Golph3,Ggh,Galnt5,Galnt6,Muc5ac,Muc4,Muc20,Spdef,Dusp4
Airway smooth muscle cells	Airway smooth muscle cells	Nog,Acta2,Foxf1,Gata5
Alpha cells	Alpha cells	Gcg,Ttr,Glp1r,Arx,Pou3f4,Nkx2-2,Resp18,Pyy,Pcsk2,Slc38a5,Tm4sf4,Cryba2,Nkx6-1,Kcnk16,Pcsk1,Prrg2,Irx2,Aldh1a1,Pemt,Chga,Smim24,F10,Scgn,Slc30a8,Sh3gl2,Fap,Dpp4,Gpr119,Mafb,Pax6,Neurod1,Loxl4,Plce1,Gc,Klhl41,Fev,Ptger3,Rfx6,Smarca1,Pgr,Ldb2,Irx1,Ucp2,Rgs4,Gls
Alveolar macrophages	Alveolar macrophages	Plet1,Il1b,Ccl3,G0s2,Mcemp1,Klhdc4,Gda,Clec7a,Itgax,Tnfaip2,Cd36,Gal,Gpnmb,Mrc1,Marco,Csf2rb2,Mpp1,Trim25,Olr1,S100a4,Gngt2
Anterior pituitary gland cells	Anterior pituitary gland cells	Aga,Angpt1,Cpeb4,Igsf1,Nktr,Nucb2,Pou1f1,Prl3d1,Rab27a,Rcn3,Sez6l2,Six6,Tbrg1,Tmem130,Pomc,Gmppa,Gnb3,Hepacam2,Asb4,Rax,Nkx2-1,Fshb,Gnrhr,Pitx1,Tshb,Pax7
Astrocytes	Astrocytes	S100b,Slc1a2,Gfap,Bysl,Aldh1l1,Cd40,Slc1a3,Fgfr3,Gjb6,Aqp4,Htra1,S100a8,Cldn10,Itih3,Nkain4,Acsl6,Acsbg1,Tril,Gpr37l1,Slc4a4,Ntsr2,Slc6a11,Hspa2,Slc16a2,Syne1,Dio2,Slc7a10,Entpd2,Hspb6,Plxnb1,Lcat,Pla2g7,Cmtm5,S1pr1,Slc39a12,Luzp2,Slc25a28,Slc25a46,Wnt3,Fzd2,Tead1,Rlbp1,Aldoc,Gja1,Apoe,Lcn2,Sox9,Vim,Ccr7,Aanat,Fabp7,Socs3,Synm,Hmg20a,Nfatc3,Srr,Slc1a6,Ets1,Slit1,Snph,Il23a
B cells	B cells	Cd2,Cd5,Ms4a1,Cr2,Cd22,Cd69,Cd70,Cd79a,Cd79b,Cd80,Cd86,Sdc1,Tnfsf4,Tnfrsf13b,Tnfrsf13c,Pdcd1,Ighm,Rasgrp3,Ltb,Fli1,Cd14,Sema6d,Lair1,Ifit3b,Iglc3,Dntt,Mme,Spn,Cd19,Cd27,B3gat1,Cd72,Pax5,Jchain,Mzb1,Ly6d,Fcmr,Bank1,Edem1,Vpreb3,Pou2af1,Creld2,Derl3,Ralgps2,Fchsd2,Pold4,Tnfrsf17,Hvcn1,Fcrla,Edem2,Blnk,Txndc11,Btla,Smap2,Fkbp11,Sec61a1,Arxes2,Spib,Eaf2,Cxcr4,Birc3,Il21r,Igkc,Vpreb1,Lrmp,Klhl6,Slamf6,Bst1,Msh5,Dok3,Bach2,Pxk,Cd38,Ptprc,Ebf1,Bcl11a,Cd55b,Cd74,Cd52,Tlr9,Swap70,Hmga1b
B cells memory	B cells memory	Cd84,Nt5e
Basophils	Basophils	Osbpl5,Otub2,P2ry1,Pdk3,Pdzd4,Perp,Plekhg5,Plg,Rnf39,Slc26a3,Slc26a8,Sncaip,St6galnac5,Tulp3,Tec,Unc93a,Wrn,Id1
Bergmann glia	Bergmann glia	Gria4,Grm3,A2m,Ptch1,Cdc42ep4,Btbd17,Hopx,Ttc21b,Hepacam,Zeb2,Ufl1,Nrxn3,Atp7a,Bicd2,P2rx7,Gria1,Grin2b,Grin3a,Dao,Itgb1,Kif1bp
Beta cells	Beta cells	Gcgr,Jph3,Hamp2,Ezh1,Ntrk1,Pdx1,Slc2a2,Nkx6-2,Fxyd2,Npy,Rims1,Mafa,Efna5,Lmx1a,Pax4,Iapp,G6pc2,Gjd2,Igf2,Syt13,Nptx2,Gm29427,Edaradd,Adcyap1,Casr,Isl1,Tgfbr3,Six3,Six2,Bmp5,Pir,Stxbp5,Dlk1,Rgs16
Cajal-Retzius cells	Cajal-Retzius cells	Reln,Diablo,St3gal5,Isoc1,Smoc2,Dync1i1,Nhlh2,Clstn2,Tmem163,Cacna2d2,Cib2,Ndnf,Lingo1,Lnpk,Rnf138rt1,Tmem170b,Abcc5,Cnrip1,Ebf3,Fut9,Pabpn1,Gnl3l,Nudt2,Nsmce3,Dach1,Homer2,Map9,Dnm3,Lztfl1,Fsd1,Tceal1,Rab11fip2,Barhl2,Trim44,Slc17a6,B3galt1,Slitrk5,Erc2,Nbea,Slc25a36,Zdbf2,Mapk8,Gdf5,Ache,Ccm2,Wrap73,Nrg1,Atp13a2,Cntnap2,Pnoc,Lhx1,Lingo2,Fat3,Srgap3,Cdh4,Flrt3,Edil3,Zcchc12,Smad9,Tbr1,Kcnh7,Lhx5,Calb2,Emx2,Zic2,Wnt7b,Aatf,Nanos1,Tbck,Rgmb,Dact1,Eomes,Cnr1
Cardiac stem and precursor cells	Cardiac stem and precursor cells	Myh6,Tbx18,Fut4,Nkx2-5,Gata4,Etv2,Kit,Abcg3,Mesp1,Bmp4,Adgrl2,Tbx3,Tbx4,Wnt5a,Ankrd1
