,Mitochondria ,Heat shock protein,Ribosome ,Dissociation
1,MT-ATP6,HSP90AA1,RPL10,ATF3
2,MT-ATP8,HSP90AA2P,RPL10A,BTG2
3,MT-CO1,HSP90AA4P,RPL10AP1,CEBPB
4,MT-CO2,HSP90AA5P,RPL10AP2,CEBPB-AS1
5,MT-CO3,HSP90AA6P,RPL10AP3,CEBPD
6,MT-CYB,HSP90AB1,RPL10AP5,CXCL1
7,MT-ND1,HSP90AB2P,RPL10AP6,EGR1
8,MT-ND2,HSP90AB3P,RPL10L,FOS
9,MT-ND3,HSP90AB4P,RPL10P1,FOSB
10,MT-ND4,HSP90AB6P,RPL10P10,FOSL1
11,MT-ND4L,HSP90AB7P,RPL10P11,FOSL1P1
12,MT-ND5,HSP90B1,RPL10P12,FOSL2
13,MT-ND6,HSP90B2P,RPL10P13,ID3
14,MT-RNR1,HSP90B3P,RPL10P14,IER2
15,MT-RNR2,HSPA12A,RPL10P15,JUN
16,MT-TA,HSPA12B,RPL10P16,JUNB
17,MT-TC,HSPA13,RPL10P17,JUND
18,MT-TD,HSPA14,RPL10P18,MT1A
19,MT-TE,HSPA14,RPL10P19,MT1B
20,MT-TF,HSPA1A,RPL10P2,MT1E
21,MT-TG,HSPA1B,RPL10P3,MT1F
22,MT-TH,HSPA1L,RPL10P4,MT1G
23,MT-TI,HSPA2,RPL10P5,MT1H
24,MT-TK,HSPA4,RPL10P6,MT1L
25,MT-TL1,HSPA4L,RPL10P7,MT1M
26,MT-TL2,HSPA5,RPL10P8,MT1X
27,MT-TM,HSPA6,RPL10P9,MT2A
28,MT-TN,HSPA7,RPL11,NFKBIA
29,MT-TP,HSPA8,RPL11P3,NR4A1
30,MT-TQ,HSPA8P1,RPL11P4,PPP1R15A
31,MT-TR,HSPA8P11,RPL11P5,SOCS3
32,MT-TS1,HSPA8P13,RPL12,UBC
33,MT-TS2,HSPA8P14,RPL12P1,ZFP36
34,MT-TT,HSPA8P15,RPL12P10,
35,MT-TV,HSPA8P16,RPL12P11,
36,MT-TW,HSPA8P17,RPL12P12,
37,MT-TY,HSPA8P18,RPL12P13,
38,MTRNR2L1,HSPA8P19,RPL12P14,
39,MTRNR2L10,HSPA8P20,RPL12P15,
40,MTRNR2L11,HSPA8P3,RPL12P16,
41,MTRNR2L12,HSPA8P4,RPL12P17,
42,MTRNR2L13,HSPA8P5,RPL12P18,
43,MTRNR2L2,HSPA8P6,RPL12P19,
44,MTRNR2L3,HSPA8P7,RPL12P2,
45,MTRNR2L4,HSPA8P8,RPL12P20,
46,MTRNR2L5,HSPA8P9,RPL12P21,
47,MTRNR2L6,HSPA9,RPL12P22,
48,MTRNR2L7,HSPA9P1,RPL12P23,
49,MTRNR2L8,HSPB1,RPL12P24,
50,MTRNR2L9,HSPB11,RPL12P25,
51,,HSPB1P1,RPL12P26,
52,,HSPB1P2,RPL12P27,
53,,HSPB2,RPL12P28,
54,,HSPB2-C11orf52,RPL12P29,
55,,HSPB3,RPL12P3,
56,,HSPB6,RPL12P30,
57,,HSPB7,RPL12P31,
58,,HSPB8,RPL12P32,
59,,HSPB9,RPL12P33,
60,,HSPBAP1,RPL12P34,
61,,HSPBP1,RPL12P35,
62,,HSPD1,RPL12P36,
63,,HSPD1P1,RPL12P37,
64,,HSPD1P10,RPL12P38,
65,,HSPD1P11,RPL12P39,
66,,HSPD1P12,RPL12P4,
67,,HSPD1P14,RPL12P40,
68,,HSPD1P15,RPL12P41,
69,,HSPD1P16,RPL12P42,
70,,HSPD1P18,RPL12P43,
71,,HSPD1P2,RPL12P44,
72,,HSPD1P21,RPL12P45,
73,,HSPD1P3,RPL12P46,
74,,HSPD1P4,RPL12P47,
75,,HSPD1P5,RPL12P48,
76,,HSPD1P6,RPL12P49,
77,,HSPD1P7,RPL12P5,
78,,HSPD1P8,RPL12P50,
79,,HSPD1P9,RPL12P6,
80,,HSPE1,RPL12P7,
81,,HSPE1-MOB4,RPL12P8,
82,,HSPE1P1,RPL12P9,
83,,HSPE1P10,RPL13,
84,,HSPE1P11,RPL13A,
85,,HSPE1P12,RPL13AP,
86,,HSPE1P13,RPL13AP17,
87,,HSPE1P14,RPL13AP19,
88,,HSPE1P16,RPL13AP2,
89,,HSPE1P18,RPL13AP20,
90,,HSPE1P19,RPL13AP23,
91,,HSPE1P2,RPL13AP25,
92,,HSPE1P20,RPL13AP3,
93,,HSPE1P21,RPL13AP5,
94,,HSPE1P22,RPL13AP6,
95,,HSPE1P23,RPL13AP7,
96,,HSPE1P24,RPL13P,
97,,HSPE1P25,RPL13P12,
98,,HSPE1P26,RPL13P2,
99,,HSPE1P27,RPL13P4,
100,,HSPE1P28,RPL13P5,
101,,HSPE1P3,RPL13P6,
102,,HSPE1P4,RPL14,
103,,HSPE1P5,RPL14P1,
104,,HSPE1P6,RPL14P3,
105,,HSPE1P7,RPL14P5,
106,,HSPE1P8,RPL15,
107,,HSPE1P9,RPL15P1,
108,,HSPG2,RPL15P13,
109,,HSPH1,RPL15P14,
110,,DNAJA1,RPL15P18,
111,,DNAJA1P1,RPL15P2,
112,,DNAJA1P2,RPL15P20,
113,,DNAJA1P3,RPL15P21,
114,,DNAJA1P4,RPL15P3,
115,,DNAJA1P5,RPL15P4,
116,,DNAJA1P6,RPL17,
117,,DNAJA2,RPL17-C18orf32,
