celltypes	up_layers	layers	markers	specific_markers	species	references
Proximal tubules		2	"Lrp2, Slc27a2"	"Lrp2, Slc27a2"	mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Loop of Henle		2	"Umod, Slc12a1"	Slc12a1	mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Distal Convoluted Tubule		2	"Pvalb, Slc12a3, Umod"	"Pvalb, Slc12a3"	mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Collecting Duct Principal cells		2	"Aqp2, Hsd11b2, Rhbg"		mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Collecting Duct Intercalated cells		2	"Atp6v0d2, Atp6v1g3, Lnsrr, Rhbg"		mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Collecting Duct transitional cells		2	"Aqp2, Hsd11b2, Rhbg,Atp6v0d2, Atp6v1g3, Lnsrr"		mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Podocytes		2	"Nohs1, Nphs2"	"Nohs1, Nphs2"	mm10	"J. Park et al., Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease. Science. 360, 758-763 (2018)."
Renal corpuscle		2	Cldn1	Cldn1	mm10	"A. Ransick et al., Single-Cell Profiling Reveals Sex, Lineage, and Regional Diversity in the Mouse Kidney. Developmental Cell. 51, 399-413.e7 (2019)."
Proximal tubules		2	"Spp2, Lrp2"	"Spp2, Lrp2"	mm10	"A. Ransick et al., Single-Cell Profiling Reveals Sex, Lineage, and Regional Diversity in the Mouse Kidney. Developmental Cell. 51, 399-413.e7 (2019)."
Thin limb of Loop of Henle		2	"Aqp1, Sptssb"	"Aqp1, Sptssb"	mm10	"A. Ransick et al., Single-Cell Profiling Reveals Sex, Lineage, and Regional Diversity in the Mouse Kidney. Developmental Cell. 51, 399-413.e7 (2019)."
