"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RPS27"	2.20541218909985e-117	0.745711949262058	1	0.998	2.77220312169851e-113	"0"	"RPS27"
"RPL31"	7.80703729700303e-101	0.763984359971341	1	0.984	9.81344588233281e-97	"0"	"RPL31"
"RPS12"	4.67236559774077e-100	0.684463571262413	1	1	5.87316355636015e-96	"0"	"RPS12"
"RPL32"	2.74859934538865e-99	0.60966779784373	1	0.999	3.45498937715354e-95	"0"	"RPL32"
"LDHB"	3.90662293994982e-97	1.11472357874356	0.946	0.588	4.91062503551692e-93	"0"	"LDHB"
"RPS25"	3.9867909322756e-97	0.734303075788842	1	0.987	5.01139620187043e-93	"0"	"RPS25"
"RPS6"	4.82012999810209e-96	0.637531853312987	1	1	6.05890340761433e-92	"0"	"RPS6"
"RPS3A"	9.47787130505638e-88	0.768122121190305	1	0.983	1.19136842304559e-83	"0"	"RPS3A"
"RPL30"	9.42476519583873e-87	0.682267999924613	1	0.992	1.18469298511693e-82	"0"	"RPL30"
"RPS14"	4.20033363161164e-85	0.570133557643021	1	1	5.27981937493583e-81	"0"	"RPS14"
"RPLP2"	1.31901314088058e-84	0.602953703546507	1	1	1.65799951808689e-80	"0"	"RPLP2"
"RPL9"	4.62484876341814e-81	0.687003978793474	1	0.987	5.81343489561661e-77	"0"	"RPL9"
"RPS13"	5.98781749284464e-81	0.720370898372333	1	0.98	7.52668658850571e-77	"0"	"RPS13"
"RPS15A"	2.88119129974076e-79	0.613466825865445	1	0.997	3.62165746377413e-75	"0"	"RPS15A"
"MALAT1"	4.96560411108103e-79	0.701706750139347	1	1	6.24176436762885e-75	"0"	"MALAT1"
"RPS27A"	4.9676935653934e-77	0.720179577888341	1	0.975	6.2443908116995e-73	"0"	"RPS27A"
"RPL21"	3.66184108302526e-75	0.640199425954888	1	0.997	4.60293424136275e-71	"0"	"RPL21"
"RPL3"	5.86609229356195e-74	0.585269696062568	1	1	7.37367801300737e-70	"0"	"RPL3"
"RPL35A"	6.38740006540588e-74	0.594399412056203	1	0.993	8.02896188221519e-70	"0"	"RPL35A"
