HGNC_symbol	HGNC_ensembl_gene_id	MGI_symbol	MGI_ensembl_gene_id
1	FPR3	ENSG00000187474	Fpr3	ENSMUSG00000079700
2	FPR3	ENSG00000187474	Fpr2	ENSMUSG00000052270
3	HLA-A	ENSG00000206503	H2-M11	ENSMUSG00000037537
4	DEFB132	ENSG00000186458	Defb34	ENSMUSG00000052554
5	TRIM11	ENSG00000154370	Trim11	ENSMUSG00000020455
6	RBMY1A1	ENSG00000234414	Gm21704	ENSMUSG00000093987
7	RBMY1A1	ENSG00000234414	Gm21708	ENSMUSG00000095948
8	IL1RL1	ENSG00000115602	Il1rl1	ENSMUSG00000026069
9	RBMY1D	ENSG00000244395	Gm21704	ENSMUSG00000093987
10	RBMY1D	ENSG00000244395	Gm21708	ENSMUSG00000095948
11	DEFB105A	ENSG00000186562	Defb12	ENSMUSG00000043787
12	HLA-F	ENSG00000204642	H2-M11	ENSMUSG00000037537
13	SPATA31A6	ENSG00000185775	Spata31	ENSMUSG00000056223
14	TAF11L12	ENSG00000249156	Taf11	ENSMUSG00000024218
15	CRYBB2	ENSG00000244752	Crybb2	ENSMUSG00000042240
16		ENSG00000283516	Gm5767	ENSMUSG00000107252
17	TAF11L10	ENSG00000284356	Taf11	ENSMUSG00000024218
18	DEFB105B	ENSG00000186599	Defb12	ENSMUSG00000043787
19	IDH3A	ENSG00000166411	Idh3a	ENSMUSG00000032279
20	SLFN12L	ENSG00000205045	Slfn1	ENSMUSG00000078763
21	RTP2	ENSG00000198471	Rtp2	ENSMUSG00000047531
22	LINC02218	ENSG00000249662	Taf11	ENSMUSG00000024218
23	ZNF878	ENSG00000257446	Zfp963	ENSMUSG00000092260
24	ZNF878	ENSG00000257446	Zfp866	ENSMUSG00000043090
25	DCAF12L2	ENSG00000198354	Dcaf12l1	ENSMUSG00000045284
26	SYCP3	ENSG00000139351	Gm28490	ENSMUSG00000094789
27	SYCP3	ENSG00000139351	Gm21861	ENSMUSG00000096626
28	SYCP3	ENSG00000139351	Gm6121	ENSMUSG00000080725
29	B3GNT6	ENSG00000198488	B3gnt6	ENSMUSG00000074004
30	SERINC5	ENSG00000164300	Serinc5	ENSMUSG00000021703
31	SPATA31A7	ENSG00000276040	Spata31	ENSMUSG00000056223
32	TAF11L3	ENSG00000284439	Taf11	ENSMUSG00000024218
33	GLB1	ENSG00000170266	Glb1	ENSMUSG00000045594
34	RBMY1F	ENSG00000169800	Gm21704	ENSMUSG00000093987
35	RBMY1F	ENSG00000169800	Gm21708	ENSMUSG00000095948
36	SARDH	ENSG00000123453	Sardh	ENSMUSG00000009614
37	CCDC142	ENSG00000135637	Gm42688	ENSMUSG00000079511
38	CCDC142	ENSG00000135637	Ccdc142	ENSMUSG00000107499
39	CSF3	ENSG00000108342	Csf3	ENSMUSG00000038067
40	TMX1	ENSG00000139921	Tmx1	ENSMUSG00000021072
41	TAF11L5	ENSG00000284234	Taf11	ENSMUSG00000024218
42	ENPP4	ENSG00000001561	Enpp4	ENSMUSG00000023961
43	IL2RA	ENSG00000134460	Il2ra	ENSMUSG00000026770
44	RBMY1B	ENSG00000242875	Gm21704	ENSMUSG00000093987
45	RBMY1B	ENSG00000242875	Gm21708	ENSMUSG00000095948
46	TAF11L4	ENSG00000284283	Taf11	ENSMUSG00000024218
47	TAF11L11	ENSG00000283740	Taf11	ENSMUSG00000024218
48	FTL	ENSG00000087086	Ftl1-ps1	ENSMUSG00000062382
49	CWH43	ENSG00000109182	Cwh43	ENSMUSG00000029154
50	TEX264	ENSG00000164081	Tex264	ENSMUSG00000040813
51	HLA-C	ENSG00000204525	H2-M11	ENSMUSG00000037537
52	HLA-G	ENSG00000204632	H2-M11	ENSMUSG00000037537
53	TAF11L8	ENSG00000283967	Taf11	ENSMUSG00000024218
54	SPATA31A1	ENSG00000204849	Spata31	ENSMUSG00000056223
55	ZDHHC22	ENSG00000177108	Zdhhc22	ENSMUSG00000048483
56	RBMY1E	ENSG00000242389	Gm21704	ENSMUSG00000093987
57	RBMY1E	ENSG00000242389	Gm21708	ENSMUSG00000095948
58	TMPPE	ENSG00000188167	Tmppe	ENSMUSG00000079260
59	SLC3A2	ENSG00000168003	Slc3a2	ENSMUSG00000010095
60	ZNF627	ENSG00000198551	Gm20422	ENSMUSG00000092544
61	GIPR	ENSG00000010310	Gipr	ENSMUSG00000030406
62	HLA-E	ENSG00000204592	H2-M11	ENSMUSG00000037537
63	SLFN12	ENSG00000172123	Slfn1	ENSMUSG00000078763
64	TAF11L13	ENSG00000283776	Taf11	ENSMUSG00000024218
65	DEFB104A	ENSG00000176782	Defb34	ENSMUSG00000052554
66	AOX1	ENSG00000138356	Aox1	ENSMUSG00000063558
67	DEFB108B	ENSG00000184276	Defb34	ENSMUSG00000052554
68	BCL7B	ENSG00000106635	Bcl7b	ENSMUSG00000029681
69	RUNDC3A	ENSG00000108309	Rundc3a	ENSMUSG00000006575
70	TAF11L7	ENSG00000284465	Taf11	ENSMUSG00000024218
71	RBMY1J	ENSG00000226941	Gm21704	ENSMUSG00000093987
72	RBMY1J	ENSG00000226941	Gm21708	ENSMUSG00000095948
73	TAF11L9	ENSG00000283988	Taf11	ENSMUSG00000024218
74	VN1R4	ENSG00000228567	Vmn1r67	ENSMUSG00000046716
75	TAF11L6	ENSG00000284042	Taf11	ENSMUSG00000024218
76	SPATA31A3	ENSG00000275969	Spata31	ENSMUSG00000056223
77	PPP2CB	ENSG00000104695	Ppp2cb	ENSMUSG00000009630
78	TAF11L14	ENSG00000250782	Taf11	ENSMUSG00000024218
79	CDR1	ENSG00000184258	Cdr1	ENSMUSG00000090546
80	UBXN8	ENSG00000104691	Ubxn8	ENSMUSG00000052906
81	TAF11L2	ENSG00000284373	Taf11	ENSMUSG00000024218
82	DEFB104B	ENSG00000177023	Defb34	ENSMUSG00000052554
83	SPATA31A5	ENSG00000276581	Spata31	ENSMUSG00000056223
84	LYRM7	ENSG00000186687	Lyrm7	ENSMUSG00000020268
85	HLA-B	ENSG00000234745	H2-M11	ENSMUSG00000037537
86	TMEM97	ENSG00000109084	Tmem97	ENSMUSG00000037278
87	CPNE9	ENSG00000144550	Cpne9	ENSMUSG00000030270
88		ENSG00000167774	Ndufa7	ENSMUSG00000041881
89	DHX37	ENSG00000150990	Dhx37	ENSMUSG00000029480
90	FOXJ3	ENSG00000198815	Foxj3	ENSMUSG00000032998
