"ensembl_gene_id"	"symbol"	"chromosome_name"	"start_position"	"end_position"
"1"	"ENSMUSG00000100384"	"Gm28489"	"Y"	31419544	31423014
"2"	"ENSMUSG00000100216"	"Gm21867"	"Y"	68409633	68410328
"3"	"ENSMUSG00000099641"	"Gm29448"	"Y"	68446562	68447176
"4"	"ENSMUSG00000100271"	"Gm21127"	"Y"	68476137	68476829
"5"	"ENSMUSG00000095634"	"Gm20816"	"Y"	68549224	68551559
"6"	"ENSMUSG00000101393"	"Gm29447"	"Y"	68678874	68682113
"7"	"ENSMUSG00000100885"	"Gm29446"	"Y"	68714125	68717466
"8"	"ENSMUSG00000101120"	"Gm29452"	"Y"	68718880	68719192
"9"	"ENSMUSG00000101216"	"Gm29451"	"Y"	68755564	68756259
"10"	"ENSMUSG00000100032"	"Gm20817"	"Y"	68817865	68843997
"11"	"ENSMUSG00000101080"	"Gm28633"	"Y"	68910098	68912594
"12"	"ENSMUSG00000094444"	"Gm21562"	"Y"	31691308	31691835
"13"	"ENSMUSG00000100308"	"Gm29410"	"Y"	68962559	68963252
"14"	"ENSMUSG00000101423"	"Gm28298"	"Y"	31732883	31735247
"15"	"ENSMUSG00000095626"	"Gm21572"	"Y"	31757555	31758082
"16"	"ENSMUSG00000101761"	"Gm28297"	"Y"	31795357	31797635
"17"	"ENSMUSG00000099493"	"Gm21753"	"Y"	32079749	32080444
"18"	"ENSMUSG00000096777"	"Gm21723"	"Y"	32115184	32115711
"19"	"ENSMUSG00000102119"	"Gm28462"	"Y"	69011221	69012780
"20"	"ENSMUSG00000101147"	"Gm20818"	"Y"	69029093	69029785
"21"	"ENSMUSG00000100739"	"Gm28296"	"Y"	32136979	32139342
"22"	"ENSMUSG00000095345"	"Gm21821"	"Y"	32176464	32176992
"23"	"ENSMUSG00000100709"	"Gm28295"	"Y"	32199403	32201766
"24"	"ENSMUSG00000101254"	"Gm20932"	"Y"	69637093	69637786
"25"	"ENSMUSG00000100976"	"Gm29134"	"Y"	69681445	69681929
"26"	"ENSMUSG00000100489"	"Gm28303"	"Y"	69747529	69748275
"27"	"ENSMUSG00000101239"	"Gm28304"	"Y"	69776073	69776384
"28"	"ENSMUSG00000100971"	"Gm28824"	"Y"	69777798	69781141
"29"	"ENSMUSG00000100509"	"Gm21810"	"Y"	33060550	33061245
"30"	"ENSMUSG00000095553"	"Gm21916"	"Y"	33096043	33096570
"31"	"ENSMUSG00000101099"	"Gm29191"	"Y"	33118945	33121306
"32"	"ENSMUSG00000095049"	"Gm21756"	"Y"	33200363	33226418
"33"	"ENSMUSG00000101601"	"Gm28210"	"Y"	33245210	33245656
"34"	"ENSMUSG00000101516"	"Gm29074"	"Y"	33277090	33280321
"35"	"ENSMUSG00000101359"	"Gm28211"	"Y"	33292586	33296052
"36"	"ENSMUSG00000100790"	"Gm28518"	"Y"	33338010	33341245
"37"	"ENSMUSG00000101302"	"Gm28519"	"Y"	33366948	33370180
"38"	"ENSMUSG00000102125"	"Gm28520"	"Y"	33401372	33404604
"39"	"ENSMUSG00000094064"	"Gm21626"	"Y"	33591015	33591542
"40"	"ENSMUSG00000101421"	"Gm28433"	"Y"	70569681	70569995
"41"	"ENSMUSG00000099461"	"Gm28521"	"Y"	33632972	33635336
"42"	"ENSMUSG00000101706"	"Gm28431"	"Y"	70571399	70574741
"43"	"ENSMUSG00000096532"	"Gm21633"	"Y"	33657681	33658208
"44"	"ENSMUSG00000101627"	"Gm28432"	"Y"	70606727	70609965
"45"	"ENSMUSG00000101852"	"Gm20886"	"Y"	70717406	70718098
"46"	"ENSMUSG00000101681"	"Gm28522"	"Y"	33695556	33697834
"47"	"ENSMUSG00000099438"	"Gm21808"	"Y"	70791975	70792670
"48"	"ENSMUSG00000101870"	"Gm21745"	"Y"	33983534	33984229
"49"	"ENSMUSG00000101472"	"Gm28517"	"Y"	34019043	34019570
"50"	"ENSMUSG00000101407"	"Gm29532"	"Y"	34041726	34044090
"51"	"ENSMUSG00000099500"	"Gm29531"	"Y"	34081254	34081781
"52"	"ENSMUSG00000100097"	"Gm28464"	"Y"	34104200	34106563
"53"	"ENSMUSG00000099806"	"Gm28841"	"Y"	70858526	70859220
"54"	"ENSMUSG00000101474"	"Gm29656"	"Y"	34141780	34142307
"55"	"ENSMUSG00000099704"	"Gm28842"	"Y"	70901967	70905206
"56"	"ENSMUSG00000101383"	"Gm28843"	"Y"	70970640	70995300
"57"	"ENSMUSG00000099737"	"Gm29655"	"Y"	34164715	34167078
"58"	"ENSMUSG00000099914"	"Gm28837"	"Y"	71055755	71056450
"59"	"ENSMUSG00000101417"	"Gm21647"	"Y"	34240427	34271956
"60"	"ENSMUSG00000101654"	"Gm29653"	"Y"	34290974	34291420
"61"	"ENSMUSG00000099369"	"Gm28838"	"Y"	71092740	71093054
"62"	"ENSMUSG00000101808"	"Gm29654"	"Y"	34366261	34369610
"63"	"ENSMUSG00000101893"	"Gm28839"	"Y"	71094465	71097812
"64"	"ENSMUSG00000099910"	"Gm29651"	"Y"	34375474	34376170
"65"	"ENSMUSG00000100442"	"Gm20866"	"Y"	71234579	71235274
"66"	"ENSMUSG00000101518"	"Gm20868"	"Y"	71309226	71309918
"67"	"ENSMUSG00000099818"	"Gm29652"	"Y"	34412574	34413188
"68"	"ENSMUSG00000100500"	"Gm29080"	"Y"	34424335	34425874
